title,year,authors,venue,doi,url,abstract,source,queries
A Retrieval-Augmented Generation Approach for Bilingual Radiological Recommendation System,2026,Abir Baâzaoui; Lamis Kaddoussi,Proceedings of the 18th International Conference on Agents and Artificial Intelligence,10.5220/0014426600004052,https://doi.org/10.5220/0014426600004052,,crossref,retrieval augmented generation HPC documentation
A Retrieval-Augmented Generation Based Approach for Contextualized &amp; Complete Explanations,2026,Salma Kishk; Nourhan Ehab; Mervat Abu-Elkheir,Proceedings of the 18th International Conference on Agents and Artificial Intelligence,10.5220/0014482700004052,https://doi.org/10.5220/0014482700004052,,crossref,retrieval augmented generation HPC documentation
A survey of anomaly detection in HPC systems using machine learning,2026,Yiming Lu; Wei Zhang; Lihua Yang; Yiqin Dai; Hao Wu,CCF Transactions on High Performance Computing,10.1007/s42514-025-00266-7,https://openalex.org/W7124463491,"Abstract High-performance computing (HPC) systems must remain stable and reliable to consistently deliver robust computational power and ensure the proper execution of user jobs. Anomaly detection is a key means to ensure the stability and reliability of these systems. With the expansion of HPC systems and changes in their architecture, accurately identifying anomalies in dynamic environments has become increasingly challenging. Traditional detection methods rely on experience and rules, which could be inefficient and inaccurate. To address these issues, researchers have proposed machine learning-based methods to automatically process large amounts of complex data, improving the efficiency of anomaly identification and diagnosis. In this survey, we conduct a comprehensive and in-depth investigation of machine learning-based anomaly detection methods in HPC systems. Firstly, we summarize and introduce the background and challenges of anomaly detection in HPC systems. Secondly, we compare a series of machine learning-based anomaly detection works in detail and summarize their frameworks. We conclude their advantages and disadvantages and application scenarios. Finally, we discuss sev",openalex,LLM root cause analysis HPC job failure
A Survey of Large Language Models,2026,Wayne Xin Zhao; Kun Zhou; Junyi Li; Tianyi Tang; Zican Dong,Frontiers of Computer Science,10.1007/s11704-026-60308-3,https://openalex.org/W4362515116,"Abstract The rapid evolution of large language models (LLMs) has driven a transformative shift in artificial intelligence (AI), reshaping both research paradigms and practical applications. Distinguished from their predecessors by unprecedented scale and advanced capabilities, LLMs necessitate new frameworks for understanding their development, behavior, and societal impact. This survey systematically reviews recent advancements in LLM techniques across four key dimensions: (1) pre-training methodologies, which establish core model capabilities through large-scale self-supervised training, architectural innovations, and data curation strategies; (2) post-training techniques, including supervised fine-tuning and reinforcement learning, which adapt foundational models to downstream tasks and enhance their alignment and safety; (3) utilization strategies, such as in-context learning, prompt engineering, and agentic reasoning, that optimize real-world deployment and enable effective interaction with external environments; and (4) evaluation methods, encompassing benchmarks for key ability dimensions such as core language capabilities, reasoning, and safety, which support comprehensive ",openalex,execution-based benchmark infrastructure as code LLM
ABSeeker: Training Long-Horizon Search Agents via Answer-Backtracked Credit Assignment,2026,Yijun Lu; Rui Ye; Jiajun Wang; Yuwen Du; Tian Jin,arXiv,,http://arxiv.org/abs/2608.05102v1,"Long-horizon search agents must make multiple sequential actions (steps) to search, retrieve, verify, and integrate evidence to reach a final answer. However, existing methods for training these agents typically treat all steps within a trajectory uniformly during both supervised fine-tuning (SFT) and reinforcement learning (RL), failing to distinguish useful actions from erroneous or redundant ones. In this paper, we propose Answer-Backtracked Credit Assignment (ABC), a fine-grained credit assignment framework for training long-horizon search agents by converting sparse trajectory-level outcomes into dense step-level supervision that rewards useful actions (even in failed trajectories) while suppressing erroneous or redundant actions. Specifically, given a potentially obscure query and its corresponding ground-truth answer, ABC first performs Answer-Backtracked Clue Recovery, which traces back from the answer to recover intermediate clues required to solve the question. It then applies Clue-Anchored Step Scoring to evaluate each search step against these clues, converting sparse binary outcome supervision into dense step-level rewards. Based on these rewards, we develop ABC-SFT, w",arxiv,LLM HPC user support assistant evaluation | LLM Dockerfile generation build success benchmark | retrieval augmented generation HPC documentation
ADAPTIVE MULTI-STAGE VECTOR RETRIEVAL FOR RETRIEVAL-AUGMENTED GENERATION,2026,Samsudeen Alabi Bankole; Yakub Kayode Saheed,NLP &amp; Big Data,10.5121/csit.2026.1601307,https://doi.org/10.5121/csit.2026.1601307,"Retrieval-Augmented Generation (RAG) is the standard for grounding Large Language Models (LLMs), but its parts' embeddings, lexical scoring, query expansion, reranking, and adaptive sizing do not always compose additively. Under default configurations, adding naïve hybrid retrieval with Reciprocal Rank Fusion degrades NDCG@10 by up to 5.6% on scientific corpora; temperature-sampled query expansion with a small LLM further degrades it by 16.8%. To address this, we propose the Adaptive Multi-Stage Vector Retrieval (AMSVR) framework, prioritising weighted, drift-resistant composition over uniform fusion. Rather than a one-sizefits-all system, AMSVR offers tailored configurations: AMSVR-Scientific (dense + tuned hybrid) peaks at NDCG@10 = 0.7570 on SciFact, while AMSVR-Full (seven stages) targets broader, noisier corpora where Recall@100 matters most. We evaluate on three BEIR benchmarks (SciFact, NFCorpus, FIQA), release an offline configuration-diagnostic tool, and provide a per-corpus recipe for selecting which stages to enable.",crossref,retrieval augmented generation HPC documentation
Adaptive Retriever Weighting for Robust Retrieval-Augmented Generation,2026,Sreenivasan Mohandas; Jahnavi Chowdary Pothuri,Proceedings of the 18th International Conference on Agents and Artificial Intelligence,10.5220/0014218900004052,https://doi.org/10.5220/0014218900004052,,crossref,retrieval augmented generation HPC documentation
Agent Against Agent: An Agentic System for Automatic Prompt Injection Red Teaming,2026,Yanting Wang; Chenlong Yin; Runpeng Geng; Jinyuan Jia,arXiv,,http://arxiv.org/abs/2608.05108v1,"Prompt injection poses significant security risks to LLM agents. Efficient and effective red-teaming is therefore critical, both for evaluating these risks and for collecting training data to improve defenses. Existing state-of-the-art prompt injection red-teaming methods primarily rely on reinforcement learning (RL), producing attacker models that often generalize poorly to new target LLMs. In this work, we develop PIMiner, an agentic system for prompt injection red-teaming. During training, PIMiner is trained on a sequence of (dataset, target model) pairs and builds a strategy library from scratch. At test time, the learned strategy library can be directly transferred to a previously unseen target LLM without additional training. PIMiner requires only a small number of queries to a target agent (e.g., 10) per test sample. Experimental results demonstrate that PIMiner achieves strong performance. On IPIArena, it attains a 76.2% ASR against Gemini-2.5-Pro, 61.9% ASR against GPT-5.1, and 42.9% ASR against Claude-Sonnet-4.5. On AgentDojo, it achieves an 86.7% ASR against Gemini-2.5-Pro, 53.3% ASR against GPT-5.1, and 40.0% ASR against Claude-Sonnet-4.5.",arxiv,LLM SLURM job script generation | large language model batch script scheduler | LLM HPC user support assistant evaluation | LLM Apptainer Singularity definition file generation | LLM Dockerfile generation build success benchmark | execution-based benchmark infrastructure as code LLM | infrastructure as code LLM benchmark Terraform | executable dataset automated program repair | LLM root cause analysis HPC job failure | supercomputer job failure diagnosis dataset | HPC LLM code generation benchmark | retrieval augmented generation HPC documentation
AI-based single-shot structured-light depth reconstruction for real-time laparoscopic surgical guidance,2026,Wayne Wonseok Rodgers; Xiangyi Le; Seonghoon Jang; Shuwen Wei; Justin Opfermann,arXiv,,http://arxiv.org/abs/2608.05109v1,"Significance. Accurate intraoperative depth perception is important for autonomous and semi-autonomous robotic laparoscopic surgery. Conventional fringe projection profilometry can achieve millimeter-scale accuracy but often requires multi-shot acquisition, digital-micromirror-device projection, and projector-camera synchronization, complicating integration into compact laparoscopic systems. Aim. To develop a synchronization-free, single-shot depth-sensing platform using a passive LED-illuminated binary mask and a VQ-VAE prior with a custom U-Net depth head. Approach. A compact projection module was coupled to one channel of a dual-channel laparoscope, while the second channel imaged the fringe-illuminated target. A Zivid 3D camera acquired reference depth for 722 paired phantom images. Zivid depth maps were reprojected into the SSLE image frame for supervised training and evaluation. The VQ-VAE encoded each input into a discrete latent representation, and a latent-space U-Net predicted depth without a separate mask-prediction branch. Results. Using a fixed train/validation/test split, the proposed model achieved an MAE of 3.70 mm, AbsRel of 0.0326, delta=1.1 accuracy of 0.962, and",arxiv,large language model batch script scheduler | LLM HPC user support assistant evaluation | executable dataset automated program repair | supercomputer job failure diagnosis dataset
Alexandrov Theorem for constant weighted mean curvature surfaces,2026,Florian Johne; Lauro Silini,arXiv,,http://arxiv.org/abs/2608.05119v1,We prove a Heintze--Karcher type inequality for a large class of log-convex weights in Euclidean and Hyperbolic spaces. As a consequence we obtain an Alexandrov theorem for $λ$-self expanders.,arxiv,large language model batch script scheduler
An Automated Evaluation of LLM Generated Code Maintainability Based on Multi-Level Measures and Comparative Analysis,2026,Rahma Becha; Asma Sellami; Nadia Bouassida; Ali Idri,Proceedings of the 21st International Conference on Evaluation of Novel Approaches to Software Engineering,10.5220/0014973100004015,https://doi.org/10.5220/0014973100004015,,crossref,execution-based benchmark infrastructure as code LLM
An evaluation study of large language models for addressing code quality issues,2026,Rares Patcas; Simona Motogna,Empirical Software Engineering,10.1007/s10664-026-10858-8,https://openalex.org/W7154086917,"Abstract This empirical study investigates how state-of-the-art Large Language Models (LLMs) can automatically resolve code issues identified by SonarQube, a widely used static analysis tool. As automated maintenance becomes more common, combining AI models with rule-based analysis offers a promising approach to improving code quality. We compare six LLMs, including GPT-4o, Gemini 2.0 Flash, Claude 3 Opus, Mistral Large, Grok 3, and Deep-Seek V3, in performing automated code repair. Using a unified prompt strategy, SonarQube issues are mapped into structured prompts, and LLM-generated fixes replace affected functions in the source code. We evaluate repairs based on syntactic correctness, reduction in SonarQube reported issues, and introduce the Static Repair Success Rate (SRSR), a strict metric that measures the proportion of syntactically valid repairs that resolve all original issues without introducing new ones, followed by a semantic analysis to assess whether the repaired code preserved the intended program behavior. Overall, the average reduction in SonarQube-reported issues, calculated across all models and projects, was about 36.02%. The best result for a single project was",openalex,LLM Dockerfile generation build success benchmark
An LLM and Knowledge-Graph Based Escalation Engine for Root-Cause Analysis in Advanced Robotics Systems,2026,Nikhil Mallala; Amar Sharma,2026 6th International Conference on Intelligent Technologies (CONIT),10.1109/conit69683.2026.11621839,https://doi.org/10.1109/conit69683.2026.11621839,,crossref,LLM root cause analysis HPC job failure
An LLM-Based Assistant for Debt Waiver Court Procedures,2026,Lluis Padro; Daniel Ferrés; Roser Saurí; Mireia Artigot,Proceedings of the Language Resources and Evaluation Conference,10.63317/57sfssjpk6di,https://doi.org/10.63317/57sfssjpk6di,,crossref,LLM HPC user support assistant evaluation
Analyzing the daily flows: Exploring shared micro-mobility factors in Venice,2026,Vanshika Keshwani; Stefano Mazzuco,arXiv,,http://arxiv.org/abs/2608.05065v1,"Shared micro-mobility has emerged as a key component of a sustainable urban transportation system, however, limited research exists on how environmental factors influence the mobility demand between specific origin-destination (OD) locations. This work extends research on the demand-side perspective to explore how temporal and environmental conditions shape daily shared micro-mobility flows in Venice. The study analyses repeated variation across 158,401 OD-day observations for two years in 50 spatial zones. Daily temperature, rainfall, and PM10 concentrations are linked to each OD-day observation while accounting for vehicle-pass composition and temporal patterns. Here, the unit of analysis is the connection between OD pairs. A generalised additive mixed model (GAMM) is used to represent the non-linearity of environmental relationships across seasons, providing a flexible framework for understanding how climatic conditions influence sustainable mobility behaviour. The results show a significant nonlinear association between temperature and mobility demand across seasons. High rainfall is associated with reduced demand, with larger reductions under moderate and heavy rainfall than o",arxiv,LLM root cause analysis HPC job failure
Apertus: Democratizing Open and Compliant LLMs for Global Language Environments,2026,Alejandro Hernandez-Cano; Alexander Hägele; Allen Hao Huang; Angelika Romanou; Antoni-Joan Solergibert,,10.18653/v1/2026.acl-long.2172,https://openalex.org/W4416255919,"Alejandro Hernández-Cano, Alexander Hägele, Allen Hao Huang, Angelika Romanou, Antoni-Joan Solergibert, Barna Pásztor, Bettina Messmer, Dhia Garbaya, Eduard Frank Ďurech, Ido Hakimi, Juan Garcia Giraldo, Mete Ismayilzada, Negar Foroutan, Skander Moalla, Tiancheng Chen, Vinko Sabolčec, Yixuan Xu, Michael Aerni, Badr AlKhamissi, Inés Altemir Marinas, Mohammad Hossein Amani, Matin Ansaripour, Ilia Badanin, Harold Benoit, Emanuela Boros, Nicholas John Browning, Fabian Bösch, Maximilian Böther, Niklas Canova, Camille Challier, Clément Charmillot, Jonathan Coles, Jan Milan Deriu, Arnout Devos, Lukas Drescher, Daniil Dzenhaliou, Maud Ehrmann, Dongyang Fan, Simin Fan, Silin Gao, Miguel Gila, María Grandury, Diba Hashemi, Alexander Miserlis Hoyle, Jiaming Jiang, Mark Klein, Andrei Kucharavy, Anastasiia Kucherenko, Frederike Lübeck, Roman Machacek, Theofilos Ioannis Manitaras, Andreas Marfurt, Kyle Matoba, Simon Matrenok, Henrique Mendonça, Fawzi Roberto Mohamed, Syrielle Montariol, Luca Mouchel, Sven Najem-Meyer, Jingwei Ni, Gennaro Oliva, Matteo Pagliardini, Elia Palme, Andrei Panferov, Léo Paoletti, Marco Passerini, Ivan Pavlov, Auguste Poiroux, Kaustubh Ponkshe, Nathan Ranchin, Javier Ra",openalex,LLM SLURM job script generation | LLM root cause analysis HPC job failure
Area Minimization Among Group-Invariant Planar Convex Bodies of Constant Width,2026,Javier Falco; Sergii Myroshnychenko,arXiv,,http://arxiv.org/abs/2608.05125v1,"The classical Blaschke--Lebesgue theorem identifies the Reuleaux triangle as the planar convex body of constant width with minimum area. We investigate this extremal problem under prescribed symmetry constraints. Specifically, we classify the minimum-area convex bodies of constant width that are invariant under a finite group $G$ of isometries of $\mathbb{R}^2$ fixing the origin. For the exceptional reflection group $D_1$, the minimizers are precisely the Reuleaux triangles invariant under the prescribed reflection. If $G$ contains the half-turn $\mathcal R_π$, the disk is the unique minimizer. For odd $n\geq 3$, the minimizers are regular Reuleaux $n$-gons, unique up to rotation in the cyclic case $C_n$, and exactly those satisfying the prescribed reflection symmetry in the dihedral case $D_n$.",arxiv,LLM root cause analysis HPC job failure
Argus: A General-Purpose Agentic Runtime for Long-Horizon Reasoning,2026,Boxiu Li; Zimo Wen; Yijia Fan; Junxiang Lei; Sufeng Guo,arXiv,,http://arxiv.org/abs/2608.05144v1,"Long-horizon reasoning requires an agentic runtime that can persist when evidence supports its current approach and pivot when measurements reveal failure, hidden constraints, or a misspecified objective. We present Argus, a persistent, self-evolving runtime in which Manager, Planner, Engineer, and Reviewer execute bounded missions over durable project state. Argus separates stable user intent from operational objectives, constraints, and verification criteria, and admits memories, skills, procedures, verifiers, routing decisions, and rejected routes only after role-owned review and, when available, task-native verification. Model weights remain fixed; self-evolution occurs through persistent runtime state and control policy, with autonomous execution between operator-owned escalation points. Across seven GPT-5.5 benchmark arenas, Argus achieves about 78% on SWE-Bench Pro versus 59% for Direct Copilot while using 1.41 times the aggregate tokens. After verification-gated self-evolution, mature SWE-Bench waves use 21% fewer solve-input tokens and 15% less active workflow time per task than startup waves, while recording 34 verifier recoveries and 22 strict review-loop rescues. Argus ",arxiv,LLM SLURM job script generation | large language model batch script scheduler | LLM HPC user support assistant evaluation | job script correctness benchmark scheduler | LLM Apptainer Singularity definition file generation | LLM Dockerfile generation build success benchmark | execution-based benchmark infrastructure as code LLM | infrastructure as code LLM benchmark Terraform | executable dataset automated program repair | LLM root cause analysis HPC job failure | supercomputer job failure diagnosis dataset | HPC LLM code generation benchmark | retrieval augmented generation HPC documentation
Automatic Program Repair Using Large Language Models in Model-Based Development,2026,Ren Ajiki; Kenji Hisazumi,Proceedings of the 14th International Conference on Model-Based Software and Systems Engineering,10.5220/0014491100004058,https://doi.org/10.5220/0014491100004058,,crossref,large language model batch script scheduler
Automation of Secure and Compliant Infrastructure Orchestration Utilizing Terraform on AWS,2026,Anusha Singamaneni; Ranjith Bhaskaran; Cristina Muntean; Shaguna Gupta,Proceedings of the 16th International Conference on Cloud Computing and Services Science,10.5220/0014873000004039,https://doi.org/10.5220/0014873000004039,,crossref,infrastructure as code LLM benchmark Terraform
BACE: LLM-based Code Generation through Bayesian Anchored Co-Evolution of Code and Test Populations,2026,Kaushitha Silva; Srinath Perera,Proceedings of the Genetic and Evolutionary Computation Conference,10.1145/3795095.3805085,https://doi.org/10.1145/3795095.3805085,,crossref,execution-based benchmark infrastructure as code LLM | HPC LLM code generation benchmark
Backfill RAG Simulator for SC26 Reproducibility,2026,Yiqin Dai; Hailong Zhang,Zenodo (CERN European Organization for Nuclear Research),10.5281/zenodo.21455383,https://openalex.org/W7170058706,"This artifact provides the Docker image used to reproduce the Slurm backfill-scheduling experiments reported in the paper “How Much Can Large Language Models Optimize Job Management in HPC Systems?”. The image contains the Slurm simulator environment, workload-processing scripts, RAG-based parameter recommendation pipeline, static validation logic, experiment automation scripts, and the dependencies required to execute the simulator experiments. It supports reproducing both the default Slurm backfill baseline and the LLM-recommended backfill configurations. Main entry points: - RAG-based experiments: `/home/slurm/work/RAG/backfill_tune/auto_rag_new.sh`- Default-parameter baseline: `/home/slurm/work/micro_cluster/test_default.sh` The RAG workflow uses `bge-m3` through Ollama for embedding-based retrieval. LLM generation requires access to the model endpoint configured by the user. API credentials are not distributed with the artifact and must be provided through the corresponding environment variable. After loading and starting the Docker image, start the Ollama service before switching to the `slurm` user and running the experiment scripts: ```bashollama serve > /tmp/ollama.log 2>&",openalex,LLM SLURM job script generation
Backfill RAG Simulator for SC26 Reproducibility,2026,Yiqin Dai; Hailong Zhang,Zenodo (CERN European Organization for Nuclear Research),10.5281/zenodo.21455384,https://openalex.org/W7170061075,"This artifact provides the Docker image used to reproduce the Slurm backfill-scheduling experiments reported in the paper “How Much Can Large Language Models Optimize Job Management in HPC Systems?”. The image contains the Slurm simulator environment, workload-processing scripts, RAG-based parameter recommendation pipeline, static validation logic, experiment automation scripts, and the dependencies required to execute the simulator experiments. It supports reproducing both the default Slurm backfill baseline and the LLM-recommended backfill configurations. Main entry points: - RAG-based experiments: `/home/slurm/work/RAG/backfill_tune/auto_rag_new.sh`- Default-parameter baseline: `/home/slurm/work/micro_cluster/test_default.sh` The RAG workflow uses `bge-m3` through Ollama for embedding-based retrieval. LLM generation requires access to the model endpoint configured by the user. API credentials are not distributed with the artifact and must be provided through the corresponding environment variable. After loading and starting the Docker image, start the Ollama service before switching to the `slurm` user and running the experiment scripts: ```bashollama serve > /tmp/ollama.log 2>&",openalex,LLM SLURM job script generation
Bag-of-Visual-Words for Spatial Mapping of Lung Adenocarcinoma Growth Patterns,2026,Darya Ardan; Valentin Oreiller; Henning Müller,arXiv,,http://arxiv.org/abs/2608.05074v1,"Spatial mapping of lung adenocarcinoma (LUAD) growth patterns across whole slide images (WSIs) requires resolving architectural context at the region level, yet existing methods operate at the individual tile level and produce generic morphological clusters rather than clinically defined pattern maps. We propose a weakly supervised Bag-of-Visual-Words (BoVW) pipeline that learns a visual vocabulary from frozen foundation model embeddings extracted from a small set of annotated regions of interest (ROIs). Pattern prototypes are constructed as mean BoVW histograms of same-label ROIs and used for nearest-prototype classification of sliding-window regions under Jensen--Shannon divergence. The resulting predictions are projected onto the WSI tile grid to produce interpretable spatial pattern maps. We evaluate the method on 87 CPTAC-LUAD patients using three foundation model encoders and multiple vocabulary sizes on two clinically motivated tasks. For tumour/healthy classification, the best configuration achieves a balanced accuracy of $0.974$ with H-Optimus-1, approaching the $0.987$ obtained by a supervised SVM trained on mean-pooled WSI embeddings. For binary histologic grade classifi",arxiv,supercomputer job failure diagnosis dataset
BenchDP: An LLM Benchmark for Due Process Recognition,2026,Joshua P. Johnson; Adrian P. Lauf,2026 IEEE 5th International Conference on Computing and Machine Intelligence (ICMI),10.1109/icmi68585.2026.11539926,https://doi.org/10.1109/icmi68585.2026.11539926,,crossref,LLM Dockerfile generation build success benchmark
Benchmarking Multi-Agent LLM and Single Agent LLM Efficiency for Contextual Text Generation,2026,K. Arora; A. Naim; S. Sharma,"2026 International Conference on Intelligent Systems in Engineering, Secured Systems and Cybersecurity (ICISESSC)",10.1109/icisessc68634.2026.11542788,https://doi.org/10.1109/icisessc68634.2026.11542788,,crossref,LLM Apptainer Singularity definition file generation
Best practices in software development for robust and reproducible geoscientific models based on insights from the Global Carbon Budget's dynamic vegetation models,2026,Konstantin Gregor; Benjamin F. Meyer; Tillmann Gaida; Victor Justo Vasquez; Karina Bett-Williams,Geoscientific model development,10.5194/gmd-19-2407-2026,https://openalex.org/W7140306906,"Abstract. Computational models play an increasingly vital role in scientific research by enabling the numerical simulation of complex processes. Such models are also fundamental in geosciences. For instance, they offer critical insights into the impacts of global change on the Earth system today and in the future. Beyond their value as research tools, models are also software products and should therefore adhere to certain established software engineering standards. However, scientists are rarely trained as software developers, which can lead to potential deficiencies in software quality like unreadable, inefficient, or erroneous code. The complexity of models, coupled with their integration into broader workflows, also often makes it challenging to reproduce results, evaluate processes, and build upon them. In this paper, we review the state and current practices of the development processes of the state-of-the-art land surface models used by the Global Carbon Budget. We combine the experience of modelers from the respective research groups with the expertise of software engineers from tech companies to outline key principles and tools for improving software quality in research. W",openalex,LLM Apptainer Singularity definition file generation
